produto,Unnamed: 1,prediction
vela aniv metal bicolor n9 rs prata,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__cozinha,copo', '__label__utensílios'), array([9.72533107e-01, 7.78954476e-03, 7.46186636e-03, 9.48789297e-04,
       8.83921981e-04]))"
vela aniv metal bicolor interr,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__utensílios', '__label__conveniências,fita'), array([0.82442868, 0.02180409, 0.01351035, 0.01230566, 0.0066125 ]))"
fralda kisses gx c/7 un,,"(('__label__verduras,alface', '__label__cozinha,porta', '__label__corpo,bucha', '__label__verduras,couve', '__label__jardinagem,flor'), array([0.0055729 , 0.00385048, 0.00330252, 0.00322077, 0.00310823]))"
garfo mesa 10 pcs branco martinazzo,,"(('__label__cozinha,faca', '__label__cozinha,colher', '__label__cozinha,garfo', '__label__ovos,ovos', '__label__ovos,ovo'), array([0.37313294, 0.21860212, 0.05206672, 0.04197136, 0.02209565]))"
garfo mesa 10 pcs vermelho martinazzo,,"(('__label__cozinha,faca', '__label__cozinha,colher', '__label__cozinha,garfo', '__label__ovos,ovos', '__label__cozinha,faqueiro'), array([0.35072747, 0.22697969, 0.04727944, 0.03563002, 0.02709663]))"
limpa vidro juma,,"(('__label__utensílios', '__label__cozinha,pote', '__label__cozinha,tigela', '__label__cozinha,jarra', '__label__cozinha,garrafa'), array([0.10193289, 0.0897838 , 0.06897514, 0.06696086, 0.05392059]))"
gergelim branco 100g,,"(('__label__grãos,gergelim', '__label__chocolates,chocolate', '__label__grãos,semente', '__label__chocolates,ovo', '__label__ovos,ovo'), array([0.29200718, 0.20815551, 0.14134721, 0.0559608 , 0.04990283]))"
serum max love crescimento cilios e sobrancelhas 3.5ml,,"(('__label__mãos', '__label__temperos', '__label__isotônicos', '__label__pássaros', '__label__balas'), array([0.14579251, 0.07758389, 0.02352688, 0.02276727, 0.01573109]))"
churrasqueira eletrica super grill 127v,,"(('__label__utensílios', '__label__jardinagem,vaso', '__label__cabelo,kit', '__label__papelaria,lapis', '__label__papelaria,pincel'), array([0.03470023, 0.01356435, 0.00858095, 0.00826252, 0.00787136]))"
fosforo guarani 1cx c/40 palitos,,"(('__label__conveniências,cola', '__label__produtos', '__label__jardinagem,semente', '__label__churrasco,carvão', '__label__papelaria,cola'), array([0.00499166, 0.00329001, 0.00278741, 0.00276048, 0.00266526]))"
batom hello kitty blister infantil,,"(('__label__bebê,fralda', '__label__papelaria,mochila', '__label__farmácia', '__label__cabelo,pente', '__label__papelaria,estojo'), array([0.00756419, 0.00498198, 0.00389344, 0.00300738, 0.0027524 ]))"
plug macho 2p+t,,"(('__label__cozinha,porta', '__label__cozinha,""pote', '__label__conveniências,fita', '__label__utensílios', '__label__cozinha,leiteira'), array([0.00506878, 0.00380663, 0.00375304, 0.00360864, 0.00229366]))"
mordedor nina baby chocalho rosa,,"(('__label__bebê,chupeta', '__label__bebê,mamadeira', '__label__bebê,kit', '__label__cães,cama', '__label__cães,comedouro'), array([0.26407158, 0.07950217, 0.03488276, 0.02275575, 0.02189506]))"
ativador cacho super pode cac sens 300ml,,"(('__label__cabelo,shampoo', '__label__cabelo,condicionador', '__label__cabelo,sh', '__label__cabelo,cond', '__label__cozinha,caneca'), array([0.01916961, 0.0175375 , 0.00862021, 0.00776924, 0.00674103]))"
ativador cacho super poderosa coco 300ml,,"(('__label__cabelo,shampoo', '__label__cabelo,condicionador', '__label__cabelo,creme', '__label__cabelo,sh', '__label__cabelo,kit'), array([0.19811778, 0.15435225, 0.04885175, 0.0390604 , 0.03426189]))"
kit super poderosa sh cond cacho sensac,,"(('__label__cabelo,kit', '__label__cabelo,tintura', '__label__cabelo,tinta', '__label__cabelo,coloração', '__label__utensílios'), array([0.05654862, 0.01772031, 0.01438618, 0.01020776, 0.00653092]))"
mamad nina super 330ml anatomica azul,,"(('__label__bebê,mamadeira', '__label__bebê,chupeta', '__label__papelaria,caneta', '__label__cozinha,copo', '__label__cozinha,caneca'), array([0.33570641, 0.08416452, 0.06337574, 0.05950595, 0.04713562]))"
mamad nina super 330ml anat conv azul ref 1061,,"(('__label__bebê,mamadeira', '__label__bebê,chupeta', '__label__cozinha,copo', '__label__cozinha,caneca', '__label__cozinha,garrafa'), array([0.26290813, 0.12438402, 0.06733139, 0.06418478, 0.04391486]))"
chupeta nina baby americana transp rosa,,"(('__label__bebê,chupeta', '__label__bebê,mamadeira', '__label__papelaria,caneta', '__label__verduras,alface', '__label__cães,cama'), array([0.44774717, 0.06479859, 0.03939116, 0.02682344, 0.0174181 ]))"
queijo federicci ricota fresca com oregano 350g,,"(('__label__massas', '__label__queijos,queijo', '__label__pães', '__label__pães,pão', '__label__sal,sal'), array([0.371227  , 0.15347838, 0.10601469, 0.03606796, 0.01832061]))"
ovos so novo bco grande c/30 filmado,,"(('__label__ovos,ovos', '__label__ovos,ovo', '__label__conveniências,velas', '__label__cozinha,faca', '__label__conveniências,vela'), array([0.26436922, 0.06850807, 0.01475381, 0.01099325, 0.01079253]))"
sh keraform 500ml liso,,"(('__label__cabelo,condicionador', '__label__cabelo,shampoo', '__label__cabelo,sh', '__label__cabelo,kit', '__label__cozinha,copo'), array([0.33761099, 0.25664842, 0.03499325, 0.02917564, 0.02859744]))"
tabua carne fina 50x100,,"(('__label__cozinha,faca', '__label__cães,osso', '__label__cabelo,pente', '__label__cães,bifinho', '__label__churrasco,espeto'), array([0.06332103, 0.02932191, 0.02346297, 0.02240355, 0.01479973]))"
mascara confort com protecao uv50 pink 1 unidade,,"(('__label__utensílios', '__label__farmácia', '__label__papelaria,pasta', '__label__cuidados', '__label__papelaria,apontador'), array([0.08577538, 0.05227549, 0.02883379, 0.01876535, 0.01590366]))"
kit shamp. + cond. kanechom domina cachos 350ml,,"(('__label__cabelo,shampoo', '__label__cabelo,condicionador', '__label__cabelo,kit', '__label__cabelo,sh', '__label__cabelo,creme'), array([0.27949983, 0.19464086, 0.13616727, 0.02147667, 0.02116141]))"
hamb.club v burger de vegetais 230g,,"(('__label__ingredientes', '__label__jardinagem,semente', '__label__biscoitos', '__label__grãos,semente', '__label__jardinagem,sementes'), array([0.01698847, 0.01104919, 0.00999035, 0.00828486, 0.00708704]))"
